SignatureId,Perturbagen,Concentration,CellLine,Time
LINCSTP_0524,Zebularine,10,NPC,3h
LINCSTP_0525,Everolimus,0.1,MCF7,3h
LINCSTP_0526,Everolimus,0.1,MCF7,24h
LINCSTP_0527,RO4929097,3.5,A375,3h
LINCSTP_0528,LY-294002,10,MCF7,3h
LINCSTP_0529,Neratinib,0.316,MCF10A,3h
LINCSTP_0530,CI-994,2,A549,3h
LINCSTP_0531,Pazopanib,40,NPC,3h
LINCSTP_0532,Dinaciclib,4.5,MCF7,24h
LINCSTP_0533,Momelotinib,1,PC3,3h
LINCSTP_0534,Dexamethasone,10,MCF7,3h
LINCSTP_0535,Vorinostat_HMS,1,MCF10A,3h
LINCSTP_0536,DMSO,0,MCF10A,48h
LINCSTP_0537,SCH 900776,5.5,A375,3h
LINCSTP_0538,GSK-J4,5,YAPC,3h
LINCSTP_0539,EX527,10,PC3,3h
LINCSTP_0540,Trametinib,0.003,MCF10A,72h
LINCSTP_0541,TBB,25,NPC,3h
LINCSTP_0542,Dinaciclib,4.5,A375,3h
LINCSTP_0543,Ginkgetin,5,MCF7,3h
LINCSTP_0544,Dasatinib,0.316,MCF10A,48h
LINCSTP_0545,EX527,10,YAPC,3h
LINCSTP_0546,DMSO,0,A375,3h
LINCSTP_0547,Afuresertib,2.5,A549,3h
LINCSTP_0548,GSK525762A,1,MCF7,3h
LINCSTP_0549,Pravastatin,0.75,PC3,3h
LINCSTP_0550,Semagacestat,10,MCF7,3h
LINCSTP_0551,Flavopiridol,0.4,A549,3h
LINCSTP_0552,Vorinostat,1,MCF7,3h
LINCSTP_0553,PS-1145,10,MCF7,3h
LINCSTP_0554,JQ1-S,1,A549,3h
LINCSTP_0555,Vemurafenib,10,MCF7,6h
LINCSTP_0556,Losmapimod,0.25,MCF7,24h
LINCSTP_0557,SP600125,25,MCF7,24h
LINCSTP_0558,TBB,25,MCF7,3h
LINCSTP_0559,Selumetinib,5.5,A549,3h
LINCSTP_0561,Dinaciclib,4.5,MCF7,6h
LINCSTP_0562,PD0325901,4,MCF7,6h
LINCSTP_0563,BMS-345541,1,MCF7,6h
LINCSTP_0564,Vemurafenib,10,PC3,3h
LINCSTP_0565,Etoposide,0.3162278,MCF10A,3h
LINCSTP_0566,Tofacitinib,0.4,YAPC,3h
LINCSTP_0567,Staurosporine,1,A375,3h
LINCSTP_0568,C646 (CHEMBL1797936),25,PC3,3h
LINCSTP_0569,PRI-724,1.7,MCF7,6h
LINCSTP_0570,DMSO,0,MCF10A,6h
LINCSTP_0571,GSK1210151A,1,A375,3h
LINCSTP_0572,Methylstat,10,PC3,3h
LINCSTP_0573,PD-0332991,0.5,NPC,3h
LINCSTP_0574,Rolipram,1,YAPC,3h
LINCSTP_0575,Taxol,0.01,MCF10A,3h
LINCSTP_0576,Gsk126,1,A375,3h
LINCSTP_0577,UNC1215,1,NPC,3h
LINCSTP_0578,KU-55933,10,A549,3h
LINCSTP_0579,Lenalidomide,1,A549,3h
LINCSTP_0580,Flavopiridol,0.4,A375,3h
LINCSTP_0581,Nilotinib,3,MCF7,3h
LINCSTP_0582,Lenalidomide,1,MCF7,24h
LINCSTP_0583,BYL719,0.25,YAPC,3h
LINCSTP_0584,KN-62,10,PC3,3h
LINCSTP_0585,Exifone,10,A549,3h
LINCSTP_0586,PRI-724,1.7,NPC,3h
LINCSTP_0587,Dasatinib,0.1,MCF10A,48h
LINCSTP_0588,CC-401,5,A549,3h
LINCSTP_0589,Okadaic Acid,1,HAoSMC,3h
LINCSTP_0590,RO4929097,3.5,A549,3h
LINCSTP_0591,KU-55933,10,MCF7,3h
LINCSTP_0592,PD-0332991,0.316,MCF10A,3h
LINCSTP_0593,Lenalidomide,1,PC3,3h
LINCSTP_0594,Trichostatin A,1,PC3,3h
LINCSTP_0595,RGFP966,3.5,MCF7,3h
LINCSTP_0596,Decitabine,10,YAPC,3h
LINCSTP_0597,Gossypetin,10,A375,3h
LINCSTP_0598,Gossypetin,10,YAPC,3h
LINCSTP_0599,KN-62,10,A549,3h
LINCSTP_0600,Vemurafenib,10,MCF7,24h
LINCSTP_0601,Dasatinib,0.316228,MCF10A,3h
LINCSTP_0602,Tretinoin,3,PC3,3h
LINCSTP_0603,Tofacitinib,0.4,A375,3h
LINCSTP_0604,Losmapimod,0.25,NPC,3h
LINCSTP_0605,Vorinostat,1,HAoSMC,3h
LINCSTP_0606,CC-401,5,PC3,3h
LINCSTP_0607,Neratinib,0.1,MCF10A,24h
LINCSTP_0608,Trametinib,0.01,MCF10A,72h
LINCSTP_0609,SP600125,25,A549,3h
LINCSTP_0610,SCH 900776,5.5,NPC,3h
LINCSTP_0611,Resveratrol,10,A375,3h
LINCSTP_0612,Sirolimus,1,NPC,3h
LINCSTP_0613,Vorinostat,1,MCF7,6h
LINCSTP_0614,Okadaic Acid,1,PC3,3h
LINCSTP_0615,Etoposide,5,YAPC,3h
LINCSTP_0616,JQ1-S,1,MCF7,3h
LINCSTP_0617,TG101348,8,A549,3h
LINCSTP_0618,Olaparib,1.5,A549,3h
LINCSTP_0619,Momelotinib,1,MCF7,3h
LINCSTP_0620,Vorinostat,1,A549,3h
LINCSTP_0621,Tacrolimus,10,PC3,3h
LINCSTP_0622,Trametinib,0.003,MCF10A,6h
LINCSTP_0623,Etoposide,5,A375,3h
LINCSTP_0624,Rolipram,1,A549,3h
LINCSTP_0625,Methylstat,10,A375,3h
LINCSTP_0626,Afuresertib,2.5,A375,3h
LINCSTP_0627,MS-275,2,NPC,3h
LINCSTP_0628,UNC1215,1,A549,3h
LINCSTP_0629,CHIR99021,2,NPC,3h
LINCSTP_0630,Selumetinib,5.5,MCF7,24h
LINCSTP_0631,Olaparib,1.5,MCF7,3h
LINCSTP_0632,Everolimus,0.1,NPC,3h
LINCSTP_0633,Tretinoin,3,A549,3h
LINCSTP_0634,PD-0332991,0.5,PC3,3h
LINCSTP_0635,Decitabine,10,MCF7,3h
LINCSTP_0636,Semagacestat,10,A549,3h
LINCSTP_0637,EPZ-5676,10,PC3,3h
LINCSTP_0638,CC-401,5,A375,3h
LINCSTP_0639,SP600125,25,MCF7,6h
LINCSTP_0640,GSK525762A,1,PC3,3h
LINCSTP_0641,Pravastatin,0.75,MCF7,24h
LINCSTP_0642,Losmapimod,0.25,A375,3h
LINCSTP_0643,UNC-0646,0.5,A549,3h
LINCSTP_0644,Spironolactone,1,HAoSMC,3h
LINCSTP_0645,VU0155056,1,MCF7,3h
LINCSTP_0646,Neratinib,0.099928,MCF10A,3h
LINCSTP_0647,PD0325901,4,YAPC,3h
LINCSTP_0648,Afuresertib,2.5,MCF7,24h
LINCSTP_0649,BIX-01294,10,NPC,3h
LINCSTP_0650,Dasatinib,0.032,MCF10A,48h
LINCSTP_0651,Eplerenone,10,HAoSMC,3h
LINCSTP_0652,Lenalidomide,1,NPC,3h
LINCSTP_0653,Sirolimus,1,MCF7,3h
LINCSTP_0654,Nilotinib,3,PC3,3h
LINCSTP_0655,PS-1145,10,MCF7,24h
LINCSTP_0656,Decitabine,10,HUVEC,3h
LINCSTP_0657,RO4929097,3.5,MCF7,3h
LINCSTP_0658,Everolimus,0.1,A549,3h
LINCSTP_0659,Vorinostat_HMS,3.162278,MCF10A,3h
LINCSTP_0660,EPZ-5676,10,A375,3h
LINCSTP_0661,VX-970,0.1,MCF7,3h
LINCSTP_0662,Zebularine,10,A549,3h
LINCSTP_0663,RGFP966,3.5,NPC,3h
LINCSTP_0664,Selumetinib,5.5,YAPC,3h
LINCSTP_0665,Losmapimod,0.25,HAoSMC,3h
LINCSTP_0666,CHIR99021,2,A549,3h
LINCSTP_0667,Tacrolimus,10,A549,3h
LINCSTP_0668,BYL719,0.25,MCF7,3h
LINCSTP_0669,AR A014418,3,PC3,3h
LINCSTP_0670,Everolimus,0.1,MCF7,6h
LINCSTP_0671,UNC-0646,0.5,A375,3h
LINCSTP_0672,Taxol,0.001,MCF10A,3h
LINCSTP_0673,JQ1-S,1,A375,3h
LINCSTP_0674,Belinostat,10,PC3,3h
LINCSTP_0675,PS-1145,10,A549,3h
LINCSTP_0676,Curcumin,1,PC3,3h
LINCSTP_0677,Bafilomycin A1,0.05,A375,3h
LINCSTP_0678,EPZ-5676,10,YAPC,3h
LINCSTP_0679,RGFP966,3.5,YAPC,3h
LINCSTP_0680,Losmapimod,0.25,PC3,3h
LINCSTP_0681,Vemurafenib,10,NPC,3h
LINCSTP_0682,Tacrolimus,10,A375,3h
LINCSTP_0683,EPZ-5676,10,NPC,3h
LINCSTP_0684,SMER-3,10,MCF7,3h
LINCSTP_0685,Ruxolitinib,0.5,NPC,3h
LINCSTP_0686,RO4929097,3.5,MCF7,24h
LINCSTP_0687,CC-401,5,MCF7,24h
LINCSTP_0688,Tretinoin,3,YAPC,3h
LINCSTP_0689,Momelotinib,1,A375,3h
LINCSTP_0690,LY-294002,10,NPC,3h
LINCSTP_0691,Staurosporine,1,HAoSMC,3h
LINCSTP_0692,Afuresertib,2.5,NPC,3h
LINCSTP_0693,BIX-01338,10,NPC,3h
LINCSTP_0694,Tretinoin,3,MCF7,3h
LINCSTP_0695,Aldosterone,0.01,HUVEC,3h
LINCSTP_0696,Nilotinib,3,NPC,3h
LINCSTP_0697,BIX-01294,10,A375,3h
LINCSTP_0698,Geldanamycin,2,HAoSMC,3h
LINCSTP_0699,BYL719,0.25,A375,3h
LINCSTP_0700,Vorinostat,1,YAPC,3h
LINCSTP_0701,Dasatinib,0.316,MCF10A,6h
LINCSTP_0702,Eplerenone,10,HUVEC,3h
LINCSTP_0703,TBB,25,PC3,3h
LINCSTP_0704,Verteporfin,5,A549,3h
LINCSTP_0705,UNC-0321,10,MCF7,3h
LINCSTP_0706,EPZ-5687,6,MCF7,3h
LINCSTP_0707,Curcumin,1,YAPC,3h
LINCSTP_0708,Niclosamide,3,A549,3h
LINCSTP_0709,Aldosterone,0.01,HAoSMC,3h
LINCSTP_0710,EPZ-5687,6,A375,3h
LINCSTP_0711,Ruxolitinib,0.5,A549,3h
LINCSTP_0712,Trichostatin A,1,NPC,3h
LINCSTP_0713,PRI-724,1.7,A549,3h
LINCSTP_0714,Lenalidomide,1,YAPC,3h
LINCSTP_0715,Rolipram,1,HAoSMC,3h
LINCSTP_0716,UNC-0321,10,YAPC,3h
LINCSTP_0717,Salermide,10,PC3,3h
LINCSTP_0718,Tacrolimus,10,NPC,3h
LINCSTP_0719,Geldanamycin,2,MCF7,3h
LINCSTP_0720,GSK-J4,5,A549,3h
LINCSTP_0721,Selumetinib,5.5,A375,3h
LINCSTP_0722,Gsk126,1,NPC,3h
LINCSTP_0723,Tofacitinib,0.4,MCF7,24h
LINCSTP_0724,SCH 900776,5.5,MCF7,3h
LINCSTP_0725,Vorinostat,3.162,MCF10A,3h
LINCSTP_0726,Vemurafenib,10,YAPC,3h
